rule_id,bag_explicit,citation_support,audit_status,applicable_query_categories,audit_reason,source_locator,source_access_date,required_context
R027,true,direct,exclude_query_category,,Direct black-tie bag support but dresses are outside the frozen query taxonomy.,British Vogue black-tie guide lines 198-206,2026-08-16
R028,false,none,exclude_generic_accessory,,Rule text recommends generic accessories and does not support bag-only retrieval.,,
R029,true,direct,rewrite_required,,The page supports a wedding top-handle bag but the stored evidence basis cites jewellery instead.,British Vogue wedding guide lines 54-71,2026-08-16
R030,true,direct,exclude_query_category,,Direct dress-to-bag support but dresses are outside the frozen query taxonomy.,Stitch Fix dress guide lines 19-30,2026-08-16
R031,true,partial,exclude_query_category,,Dress-specific summer guidance cannot cover the frozen query categories without reinterpretation.,Stitch Fix dress guide,2026-08-16
R032,true,direct,exclude_query_category,,Direct minimal date-night outfit to handbag support but the stored input category is dresses.,PORTER date-night guide lines 703-729,2026-08-16
R033,true,direct,exclude_query_category,,Direct festive colour advice for shoes and bags but the stored input category is dresses.,PORTER personal shopper guide lines 703-716,2026-08-16
R034,false,none,exclude_non_bag,,The rule recommends bow ties cufflinks or pocket squares.,,
R035,false,none,exclude_non_bag,,The rule recommends ties pocket squares or watches.,,
R036,false,none,exclude_non_bag,,The rule recommends belts or watches.,,
R037,false,none,exclude_generic_accessory,,Generic business accessories do not constitute bag evidence.,,
R038,false,partial,rewrite_required,,Bag appears only in retrieval keywords while the rule text remains generic.,British Vogue tonal-colour guide,2026-08-16
R039,false,partial,rewrite_required,,Bag appears only in retrieval keywords while the rule text remains generic.,MasterClass colour-wheel guide,2026-08-16
R040,false,none,exclude_generic_accessory,,The source support concerns metallic jewellery rather than bags.,British Vogue wedding guide lines 38-40,2026-08-16
R041,true,none,exclude_citation_mismatch,,The cited business-casual page does not substantiate the structured-bag recommendation.,Stitch Fix business-casual page,2026-08-16
R042,true,none,exclude_citation_mismatch,,The CTL paper supports cross-category compatibility but not leather bags with tailored coats.,Pinterest CTL paper abstract lines 15-19,2026-08-16
R043,true,none,exclude_citation_mismatch,,The V&A collection page provides no structured-bag styling guidance.,V&A fashion collection page,2026-08-16
R044,true,partial,rewrite_required,,The source supports a blazer with a structured leather tote but not the broader canvas-tote cap and scarf rule.,British Vogue smart-casual guide lines 95-101,2026-08-16
R045,false,none,exclude_generic_accessory,,Generic simple-accessory advice is not bag-explicit.,,
R046,true,partial,rewrite_required,,The source supports refined black-tie accessories and clutch examples but not metallic shoe-to-bag tone matching.,Harrods black-tie guide lines 629-674,2026-08-16
R047,false,none,exclude_non_bag,,The rule recommends socks belts or watches.,,
R048,false,none,exclude_non_bag,,The rule recommends cufflinks or pocket squares.,,
R049,false,none,exclude_generic_accessory,,The colour-theory source does not directly support a bag recommendation.,,
R050,false,none,exclude_generic_accessory,,A general CTL foundation is not a bag-specific styling rule.,Pinterest CTL paper abstract lines 15-19,2026-08-16
R051,false,none,exclude_non_bag,,The rule recommends belt and tie proportions.,,
R052,false,none,exclude_generic_accessory,,General colour compatibility evidence is not a bag-specific recommendation rule.,,
