section,case_id,generator,condition,target_category,trace_size,explanation,claim,verifier_outcome,rule_or_reference,metric_value
Exact-Trace strong paired,case-b84372a3927144c5,llama3.1:8b-instruct-q8_0,rule_rag,tops,2,"For a cohesive look with the Vince Camuto tapered strap high heel sandal, consider the Vero Moda halter top. This choice works because it adheres to the guideline of keeping the upper half seasonally light [K041], making it suitable for holiday and daytime wear. The halter top's simplicity also allows the refined sandal to take center stage, avoiding excessive embellishment [K039].",The Vince Camuto tapered strap high heel sandal and the Vero Moda halter top form a cohesive look.,exact=supported; full_kb=supported; common=N/A,"[K041] With sandals, wedges, espadrilles, or clogs, keep the upper half seasonally light. Linen or cotton shirts, tanks, wrap tops, simple tees, and light blouses suit holiday and daytime wear; a silk camisole or refined sleeveless top works for a summer dinner. Natural textures and lighter colours usually make the outfit feel coherent, while a more structured top can stop platform or chunky sandals from reading too beachy.; [K039] Pumps and low heels can either sharpen a casual outfit or support a dressier one, so the top should decide which direction you want. Pair them with a fine knit, crisp shirt, or minimal tee for daytime polish; use a silk blouse, camisole, or elegant fitted top for dinner or events. Because the shoes already add refinement, the top does not need excessive embellishment unless the rest of the outfit is deliberately evening-focused.",deterministic 75%-quantile paired exact_delta
Exact-Trace weak paired,case-f9d36728095e2ded,llama3.1:8b-instruct-q8_0,no_rag,shoes,1,"Tabitha Simmons Tabitha Simmons pumps would be a great addition to the outfit with Nicole white trousers. The sleek design and neutral color of the pumps will complement the clean lines and crisp white of the trousers, creating a polished and put-together look. The pumps' subtle elegance will also add a touch of sophistication to the overall ensemble, making it suitable for a variety of occasions.",Tabitha Simmons pumps would be a great addition to the outfit with Nicole white trousers.,exact=not_supported; full_kb=not_supported; common=N/A,"{""locked_item_minimal_name"": ""tabitha simmons tabitha simmons pumps"", ""query_item_minimal_name"": ""nicole white trousers"", ""user_request"": ""Recommend shoes that complete this outfit.""}",deterministic 25%-quantile paired exact_delta
Full-KB strong paired,case-08579e6c896be310,gemma4:12b,rule_rag,outerwear,2,"I recommend the cheap womens outerwear buy winter women online to complement your look. This choice works because a saddle bag pairs well with various outerwear styles, such as tailored coats or leather jackets, to create a balanced aesthetic. Ensuring the strap sits comfortably over the shoulder without catching on bulky sleeves ensures the ensemble looks intentional and polished rather than cluttered. [K197] [K103]",The saddle bag pairs well with tailored coats.,exact=supported; full_kb=supported; common=N/A,"[K197] Shoulder and saddle bags work with most everyday outerwear, but strap clearance and bag structure matter. Blazers, trenches, leather jackets, denim jackets, and tailored coats all work; use a structured bag to sharpen softer outerwear and a relaxed saddle shape to soften tailoring. Check that the strap sits comfortably over the shoulder and does not fight bulky sleeves or large lapels, because practical fit is part of whether the combination looks intentional.",deterministic 75%-quantile paired full_delta
Full-KB weak paired,case-04c0e19c3be2d124,llama3.1:8b-instruct-q8_0,no_rag,shoes,1,"To complete this outfit, I recommend pairing the oversized cardigan with play sneakers. The relaxed fit and casual vibe of the play sneakers will balance out the loose, comfortable silhouette of the cardigan, creating a laid-back and effortless look. This combination will add a sporty touch to the overall ensemble, perfect for a casual day out or a weekend brunch.",The oversized cardigan should be paired with play sneakers.,exact=not_supported; full_kb=not_supported; common=N/A,"[K018] Knitwear works with both soft and structured shoes, so use texture and silhouette to choose. Sneakers or chunky boots suit relaxed sweaters, loafers and ballet flats sharpen fine knits, and ankle boots or pumps can move a fitted knit toward work or dinner. When the knit is very heavy, a shoe with some visual substance prevents the lower half from looking too delicate; with fine-gauge knitwear, cleaner low-profile shoes usually feel more balanced.",deterministic 25%-quantile paired full_delta
Density high paired,case-e3e8650b6815c408,llama3.1:8b-instruct-q8_0,rule_rag,shoes,1,"For this plus size white step hem t-shirt, I recommend the mother suede sneakers. These shoes will keep the outfit relaxed and casual, while the T-shirt remains a neutral base that can adapt to different contexts. By choosing sneakers, we're setting the outfit's level of polish to a laid-back tone, allowing the rest of the look to evolve freely. [K015]",The item is a plus size white step hem t-shirt.,exact=supported; full_kb=supported; common=supported,"[K015] A T-shirt can support almost any casual shoe, so choose footwear to set the outfit's level of polish. Sneakers keep it relaxed, loafers or ballet flats make it cleaner, ankle boots add weight for cooler weather, and pumps or kitten heels can deliberately dress up a simple tee. The shoe should usually be the stronger formality signal, while the T-shirt remains the neutral base that lets the rest of the outfit change context.",deterministic 75%-quantile paired density_delta
Density low paired,case-a7ca4398c1c6e424,ministral-3:14b-instruct-2512-q4_K_M,no_rag,bottoms,2,"**""Vila skinny fit jeans""** pair seamlessly with spike heel sandals by balancing structure and fluidity. The snug, streamlined silhouette complements the elongated lines of the heels without competing for attention, creating a cohesive, elongated look. The minimalist fit ensures movement remains unrestricted while maintaining a polished, cohesive aesthetic.","""Vila skinny fit jeans"" pair seamlessly with spike heel sandals.",exact=not_supported; full_kb=not_supported; common=N/A,"[K048] Pumps and heels can either sharpen denim or complete a dressier bottom. Tailored or wide-leg trousers work well when the hem is long enough to skim rather than hide the shoe; straight jeans become more polished with a pointed or kitten heel; midi and mini skirts suit work, dinner, or events depending on fabric. Because the heel adds refinement, the bottom can stay comparatively simple and still look dressed.",deterministic 25%-quantile paired density_delta
UIFR strong factual,case-6c744bf50cc7c913,ministral-3:14b-instruct-2512-q4_K_M,no_rag,bags,3,"The **bucket crossbody bag** complements the **aldo aldo high heel peep toe shoe boot** by balancing its sleek, elongated silhouette with a structured yet versatile accessory. Its compact, crossbody design ensures effortless hands-free functionality while maintaining a polished look that aligns with the boot’s refined aesthetic. The practicality of the bag’s form enhances the outfit’s cohesion without overpowering its minimalist appeal.",The bucket crossbody bag is a crossbody bag.,exact=not_supported; full_kb=not_supported; common=supported,"{""locked_item_minimal_name"": ""bucket crossbody bag"", ""query_item_minimal_name"": ""aldo aldo high heel peep toe shoe boot"", ""user_request"": ""Recommend a bag that completes this outfit.""}",deterministic median exact-support record
UIFR weak factual,case-56ddc70400ea430f,gemma4:12b,rule_rag,tops,1,"The stylish one-shoulder solid color top women is an excellent choice to pair with your cotton skirt. By choosing a solid color, you ensure the outfit remains visually balanced and sophisticated rather than overly busy [K004]. This specific silhouette provides a deliberate contrast to the skirt's texture, creating a polished look that highlights the intentionality of the overall ensemble [K004].",The top is one-shoulder.,exact=not_supported; full_kb=not_supported; common=not_supported,"{""locked_item_minimal_name"": ""stylish one-shoulder solid color top women"", ""query_item_minimal_name"": ""cotton skirt"", ""user_request"": ""Recommend a top that works with this outfit.""}",deterministic median exact-support record
Citation entails,case-e7127ff79fe12b03,gemma4:12b,rule_rag,tops,2,"The denim swing crop top is an excellent choice to pair with your new block denim shorts. By selecting a top that provides a defined silhouette, you ensure the outfit remains intentional rather than looking shapeless [K005]. This specific pairing creates a balanced, cohesive look by utilizing a lighter top to contrast with the weight of the denim [K001].",A top that provides a defined silhouette ensures the outfit remains intentional rather than looking shapeless.,exact=supported; full_kb=supported; common=N/A,"[K005] For shorts, especially in warm weather, use the top to control formality. Linen or cotton shirts, polos, tanks, and clean tees keep beach, holiday, and daytime outfits breathable; tailored Bermuda shorts can take a tucked blouse, ribbed knit, or crisp button-down for brunch or smart-casual use. Light colours and natural fabrics keep the outfit seasonally coherent, while a sharper collar or tucked waist stops longer shorts from looking shapeless.",deterministic median exact-support record
Citation does not entail,case-8633eb7ac4daa293,gemma4:12b,rule_rag,tops,2,"The vero moda halter top is an excellent choice to complement your leather crossbody bag. Because a structured leather bag pairs well with halter tops for a polished city look, this combination creates a sophisticated aesthetic. The clean lines of the halter neck ensure the bag remains a clear focal point without competing with a busy neckline. [K185] [K080]",The vero moda halter top is an excellent choice to complement your leather crossbody bag.,exact=not_supported; full_kb=not_supported; common=N/A,"[K185] Shoulder and saddle bags can work with many tops, so use the bag's structure to set the tone. A leather or structured shoulder bag pairs well with blouses, fitted knits, button-ups, halter tops, and neat tees for city or dinner; a softer saddle bag works naturally with casual shirts, sweaters, and relaxed tops. If the bag has prominent hardware or fringe, keep the neckline and print quieter so the accessory remains a clear focal point.; [K080] Crossbody and sling bags suit movement-heavy outfits, so keep the top practical and easy to layer. A tee, tank, hoodie, sweater, or casual shirt works for travel and weekends; a clean button-down or fine knit can make a leather crossbody feel city-polished. If the strap crosses a busy print, choose a simpler neckline or smaller-scale pattern so the bag does not visually fight with the top.",deterministic median exact-support record
Trace utilization high,case-e092494ef218951a,ministral-3:14b-instruct-2512-q4_K_M,rule_rag,bags,2,"The **block box black leather shoulder bag** complements your **yoins black rivet embellished short boots** by balancing their bold embellishments with a structured, cohesive silhouette. Its sleek leather form aligns with the boots’ polished aesthetic while providing visual substance to avoid contrast overload, ensuring the bag feels intentional rather than disconnected. [K096] [K181]",The block box black leather shoulder bag complements your yoins black rivet embellished short boots.,exact=supported; full_kb=supported; common=N/A,"[K096] Boots support bags with a little visual substance. Shoulder bags, crossbodies, totes, structured handbags, and hobos all work; sleek boots pair more easily with structured bags, while biker or chunky boots can take softer or more casual bags. Repeating leather colour can create cohesion, but it is not required—especially when the outfit already contains several brown, black, or metallic elements.; [K181] Boots can support either practical or polished bags, but the bag should acknowledge the boot's visual weight. Chunky, combat, or biker boots work with crossbodies, shoulder bags, totes, and soft hobos for everyday wear; sleek ankle or riding boots can take a more structured shoulder bag or top-handle for city polish. Avoid pairing very rugged boots with a tiny ornate bag unless the contrast is intentional, because the accessory can look visually disconnected.",deterministic 75%-quantile rule use
