rule_id,rule_version,rule_text,input_category,recommended_category,applicable_query_categories,required_context,query_terms,candidate_terms,scenario_label,gender_context,formality_level,occasion_tags,season_tags,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_locator,source_access_date,source_validation_status,source_reliability,evidence_summary,rule_scope,rule_limitations,audit_status,supersedes_rule_ids
K001,1,"When wide-leg trousers are explicit in the query, a fitted top or cardigan is a documented proportion option.",bottoms,tops,bottoms,none,wide leg|wide-leg|palazzo,none,proportion_balance,general,general,none,all,fashion_editorial,Berner Kühl Copenhagen Fall 2025 Collection,Vogue,2025,https://www.vogue.com/fashion-shows/copenhagen-fall-2025/berner-kuhl,collection review paragraph describing fitted tops and cardigans with wide pants,2026-08-16,verified_reachable_and_direct_2026-08-16,medium,The review explicitly describes fitted tops and cardigans paired with wide trousers to create a triangle shape.,Wide-leg trousers to fitted tops only.,This is an observed designer styling direction rather than a universal proportion rule.,retain,R053|R077
K002,1,"When chinos are explicit and the request is smart casual, prefer soft knitwear or relaxed shirting over ceremonial tops.",bottoms,tops,bottoms,none,chino|chinos & smart casual|smart-casual,none,smart_casual,menswear,smart casual,daytime|dinner,all,fashion_editorial,Chinos don't suck - you just suck at styling them,British GQ,2025,https://www.gq-magazine.co.uk/article/what-to-wear-with-chinos,sections discussing softer tailoring and knitwear with chinos,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The article directly styles chinos with softer tailoring and knits.,Chino-based smart-casual outfits.,Not evidence for formal or black-tie tops.,retain,R057|R082
K003,1,"When a query explicitly combines chinos with refined trainers, a crisp shirt or tee under an unstructured blazer is a supported smart-casual top direction.",shoes,tops,shoes,none,chino|chinos & trainer|trainers|sneaker|sneakers & smart casual|smart-casual,none,smart_casual,menswear,smart casual,dinner|date,all,fashion_editorial,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,paragraphs describing crisp shirts and unstructured blazers,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The source directly recommends crisp shirting or a tee and unstructured blazer with chinos and refined trainers.,Refined trainer smart-casual looks.,Requires the chino context to be present elsewhere in the permitted text.,retain,R065
K004,1,"When loafers and denim are explicit, prefer a clean top such as a plain tee, knit or button-down rather than athletic performance wear.",shoes,tops,shoes,none,loafer|loafers & jean|jeans|denim,none,smart_casual,general,smart casual,daytime,all,fashion_editorial,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,sections describing loafers with denim and casual-to-formal shape,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The source directly treats loafers as a bridge between denim and more polished styling.,Loafer-led outfits.,The exact top must still be supported by visible text; do not infer fabric or fit.,retain,R064
K005,1,"For an explicitly casual jacket, a tee, polo or casual shirt is an appropriate base-layer direction.",outerwear,tops,outerwear,none,casual jacket|bomber|denim jacket,none,casual_layering,general,casual,daytime,all,fashion_editorial,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,discussion of balancing relaxed and elevated pieces,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The source directly frames smart casual as combining relaxed foundations with more elevated pieces.,Casual outerwear to base tops.,Do not use for a coat or jacket whose casual character is not explicit.,retain,R071
K006,1,"For an explicitly tailored blazer in business-casual use, prefer a shirt, blouse or fine knit as the base top.",outerwear,tops,outerwear,none,blazer|tailored jacket|sportcoat|sport coat & business casual|business-casual,none,business_casual,general,business casual,office|work,all,fashion_editorial,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,business-casual wardrobe sections on blazers shirts and knitwear,2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The source presents blazers, shirts and knitwear as business-casual building blocks.",Business-casual blazer outfits.,Primarily menswear editorial evidence; apply to general cases only at the category level.,retain,R072|R118
K007,1,"When a handbag or clutch is explicitly the focal item, prefer a visually simple top so the bag can remain the controlled accent.",bags,tops,bags,none,bag|handbag|clutch|tote,none,focal_point,womenswear,evening,date night|evening,all,fashion_editorial,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,lines 703-729: minimal outfit complemented by a handbag,2026-08-16,verified_reachable_and_direct_2026-08-16,medium,A fashion consultant directly advises complementing a minimal outfit with a statement item or handbag.,Bag-led date-night styling.,"Does not identify a specific top type, colour or material.",retain,R067
K008,1,"When a cropped top is explicit, high-waisted trousers or a high-waisted skirt are directly supported bottom directions.",tops,bottoms,tops,none,crop top|cropped top|cropped shirt|cropped knit,none,proportion_balance,womenswear,general,office|daytime,warm,fashion_editorial,Does an Office-Appropriate Crop Top Exist?,Vogue,2019,https://www.vogue.com/vogueworld/article/how-to-wear-crop-tops-to-the-office-summer-fashion,Hide in High-Waisted section,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The article explicitly recommends pairing cropped tops with high-waisted trousers or a skirt.,Cropped tops to high-waisted bottoms.,The source is womenswear and office-oriented; it does not establish a universal body-shape effect.,retain,R079
K009,1,"For an explicit business-casual button-down, chinos or tailored trousers are supported; dark jeans require an explicitly denim-permitted workplace.",tops,bottoms,tops,none,button down|button-down|dress shirt|business shirt & business casual|business-casual,none,business_casual,menswear,business casual,office|work,all,fashion_editorial,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,sections distinguishing chinos trousers and permitted dark denim,2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The source directly discusses chinos, trousers and context-dependent dark denim in business-casual outfits.",Business-casual shirt outfits.,Workplace denim permission must be explicit rather than inferred.,retain,R080
K010,1,"For an explicit classic T-shirt, tailored or loose trousers are a directly documented bottom pairing that can remain casual while looking polished.",tops,bottoms,tops,none,t-shirt|t shirt|tee,none,casual_polish,general,casual|smart casual,office|drinks|daytime,all,fashion_editorial,The Best T-Shirt and Trouser Pairings for This Season’s Most Laidback Trend,Vogue,2021,https://www.vogue.com/article/t-shirt-outfits,opening paragraphs on classic T-shirts with tailored and loose trousers,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The article directly calls a classic T-shirt with well-tailored trousers a simple and versatile pairing.,Classic T-shirts to trousers.,Does not support every T-shirt style or other bottom categories.,retain,R084
K011,1,"For explicit loafers, denim, chinos or tailored trousers may be selected according to whether the loafer is described as chunky or refined.",shoes,bottoms,shoes,none,loafer|loafers,none,formality_matching,general,smart casual,daytime,all,fashion_editorial,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,sections linking chunkier loafers with denim and cleaner shapes with formality,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The source directly relates loafer shape to denim and casual-versus-formal styling.,Loafer-led bottom selection.,Do not infer loafer shape when it is absent from candidate text.,retain,R095
K012,1,"For refined trainers in an explicit smart-casual request, chinos or clean jeans are supported bottom categories.",shoes,bottoms,shoes,none,trainer|trainers|sneaker|sneakers & smart casual|smart-casual,none,smart_casual,general,smart casual,dinner|date|daytime,all,fashion_editorial,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,main styling guidance for chinos and trainers,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The source directly presents chinos and refined trainers as a smart-casual combination.,Refined trainer outfits.,Not applicable to athletic performance shoes or formal evening requests.,retain,R094
K013,1,"For an explicitly tailored blazer or coat in workwear, tailored trousers are a supported bottom direction.",outerwear,bottoms,outerwear,none,blazer|tailored coat|tailored jacket & work|office|workwear,none,business_casual,general,business casual,office|work,all,fashion_editorial,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,business-casual sections on blazers and trousers,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The source directly includes blazers and trousers among business-casual components.,Tailored outerwear in workwear contexts.,Does not support formal black-tie trousers.,retain,R097
K014,1,"When a statement handbag is explicit, prefer visually simple bottoms rather than adding another focal pattern.",bags,bottoms,bags,none,statement bag|statement handbag|embellished bag|beaded bag,none,focal_point,womenswear,evening,date night|evening,all,fashion_editorial,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,lines 703-729: statement item or handbag with a minimal outfit,2026-08-16,verified_reachable_and_direct_2026-08-16,medium,The source directly recommends a statement item or handbag as the accent to a minimal outfit.,Statement-bag evening outfits.,"The source does not specify a bottom silhouette, fabric or colour.",retain,R092
K015,1,"For explicit wide-leg or baggy jeans, trainers with some visual heft are a directly supported way to keep the footwear from disappearing beneath the denim.",bottoms,shoes,bottoms,none,wide leg jean|wide-leg jean|baggy jean|baggy denim,none,proportion_balance,menswear,casual,daytime,all,fashion_editorial,Guys can still get jeans and trainers wrong. Here's how to get it right,British GQ,2025,https://www.gq-magazine.co.uk/article/how-to-wear-jeans-and-trainers,wide-leg and baggy jeans sections,2026-08-16,verified_reachable_and_direct_2026-08-16,high,The article explicitly recommends trainers with bulk or chunky soles for wide-leg and baggy jeans.,Wide-leg or baggy denim to trainers.,Menswear editorial; do not extend the advice to slim denim or non-trainer footwear.,retain,R007
K016,1,"For explicit cropped wide-leg trousers, pumps such as slingbacks or mules are a directly documented shoe direction that keeps the footwear visible.",bottoms,shoes,bottoms,none,wide leg|wide-leg|palazzo,none,proportion_balance,womenswear,general,none,all,fashion_editorial,Wide-Leg Trousers Are a Vogue Office Favorite—7 Street Style-Approved Ways to Wear Them,Vogue,2026,https://www.vogue.com/article/how-to-style-wide-leg-trousers,The Classic Black section,2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs cropped wide-leg black trousers with visible pumps, including slingbacks and mules.",Cropped wide-leg trousers to pumps.,An observed editorial outfit direction; do not extend it to all wide-leg lengths.,retain,R009|R010
