rule_id,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R001,Pair a dark two-piece business suit with black cap-toe or plain-toe oxford shoes for the highest level of daytime business formality.,tops;bottoms,shoes,formality_matching,"classic, tailored, formal","black, dark, contrast","work, formal","all season",menswear,tailored,formal,"suit, oxford, black shoes, business formal, cap-toe",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Book by an authoritative menswear author widely cited as a reference on classic tailored dressing.","Flusser presents the oxford as the most formal daytime shoe and pairs black oxfords with dark business suits.","Applies to classic business or formal daytime dress codes in menswear.","May not apply to fashion-forward suits, unstructured suits, or intentionally casual pairings.",verified,"Use as a strong evidence anchor for formal menswear shoe recommendations."
R002,With a navy or charcoal suit worn in less strictly formal business contexts a mid to dark brown oxford or derby is an acceptable alternative to black.,tops;bottoms,shoes,formality_matching,"classic, tailored, refined","brown, navy, tonal","work, smart casual","all season",menswear,tailored,business casual,"navy suit, brown shoes, derby, business",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Comprehensive reference volume by an author widely cited for classic menswear conventions.","Roetzel describes brown shoes as acceptable with navy or grey suits outside the strictest business formal contexts.","Applies to modern business and business-casual menswear.","May be inappropriate for the most conservative formal contexts (e.g. traditional legal or diplomatic dress).",verified,"Useful counter-rule to R001 for softer business contexts."
R003,Match the leather colour of your shoes to the leather colour of your belt so the two accessories read as one coordinated leather statement.,bottoms,accessories,accessory_coordination,"classic, polished, refined","brown, black, tonal","work, smart casual, formal","all season",general,tailored,business casual,"belt, shoes, leather, matching, colour coordination",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Book is a widely cited reference on classic tailored dressing principles.","Flusser articulates the shoe-and-belt colour match as a foundational rule of classic dressing.","Applies to classic tailored and smart-casual dress with visible leather belt and leather shoes.","May not apply where the belt is deliberately contrasting as a design accent, or where no belt is worn.",verified,"Use as a paired coordination rule with any shoe recommendation involving a visible belt."
R004,For smart-casual menswear a penny loafer or tassel loafer in polished leather provides a step down from the oxford while retaining tailored formality.,bottoms,shoes,smart_casual_styling,"smart casual, classic, refined","brown, burgundy, tonal","smart casual, work","all season",menswear,tailored,smart casual,"loafer, penny loafer, smart casual, chinos, blazer",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Book by a menswear historian and long-time editor published by a respected trade press.","Boyer traces the loafer's evolution from casual footwear to an accepted smart-casual staple in modern tailoring.","Applies to blazer-and-trouser or chino-based smart-casual menswear.","Not appropriate for strict business-formal or black-tie occasions.",verified,"Anchor rule for smart-casual shoe pairings in menswear evidence chains."
R005,A clean minimal white leather sneaker functions as a neutral base that can be worn with jeans chinos or unstructured tailoring for a casual-to-smart-casual look.,bottoms,shoes,smart_casual_styling,"smart casual, minimal, relaxed","white, neutral","smart casual, casual, daytime","spring, summer, autumn",unisex,relaxed fit,smart casual,"white sneaker, minimal, jeans, chinos, casual",fashion_editorial,Style Journal,Mr Porter,2023,"mrporter.com/en-gb/journal (specific article to be verified)",medium,"Established luxury retailer with an editorially curated journal.","Mr Porter's style features repeatedly identify the minimal white sneaker as a wardrobe neutral suitable for smart-casual dressing.","Applies to casual and smart-casual outfits built on jeans chinos or soft tailoring.","Not appropriate for formal or business-formal dress codes.",needs_manual_check,"Verify specific journal article URL when finalising bibliography."
R006,With midi-length dresses in autumn an ankle boot in a neutral leather colour maintains proportion and extends the outfit into cooler weather.,dresses,shoes,seasonal_layering,"classic, polished, refined","brown, black, tan, neutral","daytime, work, smart casual",autumn,womenswear,proportions,smart casual,"midi dress, ankle boot, autumn, transitional",fashion_magazine,Vogue,Conde Nast,2022,"vogue.com (specific article to be verified)",medium,"Major established fashion publication with editorial oversight.","Vogue's autumn styling features repeatedly pair midi dresses with ankle boots as a proportion strategy for cooler weather.","Applies to knee-length to just-below-knee midi dress lengths in transitional seasons.","May look cropped or shortening with true maxi dresses or above-the-knee lengths.",needs_manual_check,"Locate a specific Vogue archive article to strengthen citation."
R007,A pointed-toe pump elongates the visual line of the leg making it a useful choice under tailored trousers and pencil skirts for polished workwear.,bottoms,shoes,workwear_styling,"polished, tailored, elegant","black, nude, neutral","work, formal","all season",womenswear,proportions,business casual,"pointed toe, pump, tailored trouser, pencil skirt, workwear",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Book by a former Elle fashion director published by a major trade house; editorial rather than academic in tone.","Garcia identifies the pointed pump as a leg-elongating classic that anchors tailored workwear.","Applies to tailored workwear silhouettes in womenswear.","Comfort and long-wear may vary; may not suit very casual or athletic occasions.",verified,"Useful evidence anchor for pump-based workwear explanations."
R008,A pump in a colour close to the wearer's skin tone visually extends the leg line and is often recommended with hemmed dresses and skirts for evening formal occasions.,dresses,shoes,formal_evening_styling,"elegant, refined, polished","nude, neutral, tonal","evening, formal, wedding","spring, summer",womenswear,proportions,formal,"nude pump, evening, leg line, hem",fashion_magazine,Harper's Bazaar,Hearst Communications,2021,"harpersbazaar.com (specific article to be verified)",medium,"Established fashion publication with editorial oversight.","Harper's Bazaar styling features recommend skin-tone pumps as a leg-lengthening option for evening and formal wear.","Applies to formal evening dress styling in womenswear.","Specific 'nude' colour must be selected to match individual skin tone; not a single universal shade.",needs_manual_check,"Verify specific article URL; also flag skin-tone matching nuance for explanation generation."
R009,Delicate strappy metallic sandals coordinate well with evening formal dresses because both categories signal high formality and shine.,dresses,shoes,formal_evening_styling,"elegant, refined, formal","metallic, silver, gold","evening, wedding, party","spring, summer",womenswear,proportions,evening,"strappy sandal, metallic, evening dress, formal",fashion_magazine,Harper's Bazaar,Hearst Communications,2021,"harpersbazaar.com (specific article to be verified)",medium,"Established editorial publication with recurring evening-styling coverage.","Harper's Bazaar evening features consistently pair metallic strappy sandals with formal gowns and cocktail dresses.","Applies to evening formal occasions in warm-weather months.","Not appropriate for daytime or business dress codes; may be uncomfortable for long-duration wear.",needs_manual_check,"Verify specific article URL."
R010,A low kitten heel offers a modest lift for daytime formal or workwear settings when a full-height stiletto would be impractical.,dresses;bottoms,shoes,workwear_styling,"polished, refined, classic","black, nude, neutral","work, daytime, formal","all season",womenswear,proportions,business casual,"kitten heel, daytime, workwear, low heel",book,Tim Gunn's Fashion Bible,Tim Gunn,2012,"Gallery Books, New York, 2012",medium,"Book by a well-known industry educator; editorial rather than academic.","Gunn discusses the kitten heel as a practical daytime heel that maintains a polished silhouette.","Applies to workwear and daytime formal contexts.","Less appropriate for evening formal contexts where higher heels dominate editorial conventions.",verified,"Pair with proportion-based explanations where high heels are impractical."
