rule_id,audit_decision,replacement_rule_ids,audit_note,experimental_results_inspected,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R001,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a formal evening dress, recommend refined heeled sandals, pumps or polished evening shoes because black-tie guidance treats footwear as part of the formal evening look.",dresses,shoes,formal_evening_styling,"formal, elegant, polished","black, metallic, neutral","evening, formal, wedding",all season,womenswear,not specified,evening,"formal dress, evening dress, pumps, heeled sandals, black tie, polished shoes",fashion_magazine,The Vogue Guide To A Black-Tie Dress Code,British Vogue,2025,https://www.vogue.co.uk/article/black-tie-dress-code,high,Highly reputable fashion editorial source explaining formal evening dress-code conventions.,The source frames black tie as formal evening dressing and treats shoes as part of the black-tie capsule.,Best for black-tie or formal dress-to-shoe recommendations.,May not apply to deliberately casual or avant-garde evening styling.,verified,Use when target category is shoes and evidence mentions black tie or evening formality.
R002,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a cocktail dress, recommend dressy heels, slingbacks or polished flats rather than casual trainers because cocktail attire is semi-formal and usually asks the outfit to be dressed up above everyday wear.",dresses,shoes,formality_matching,"semi formal, polished, elegant","black, metallic, neutral","cocktail, evening, wedding",all season,womenswear,not specified,evening,"cocktail dress, slingbacks, heels, polished flats, semi formal",fashion_magazine,A Definitive Guide To Cocktail Attire,British Vogue,2025,https://www.vogue.co.uk/article/cocktail-attire-dress-code-guide,high,Highly reputable fashion editorial source on semi-formal cocktail dressing and dress-code caution.,The source describes cocktail attire as semi-formal and advises dressing up more than usual.,Best for late-afternoon or early-evening semi-formal dress styling.,May not apply where the event explicitly allows casual footwear.,verified,"Retrieve for cocktail, semi-formal, evening, or wedding queries."
R003,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a summer or resort dress, recommend flat sandals, woven sandals or simple slides because warm-weather dress styling often prioritises lighter shoes and simple accessories.",dresses,shoes,casual_daytime_styling,"casual, relaxed, minimal","neutral, beige, brown, earth tones","summer, travel, daytime, casual",summer,womenswear,relaxed fit,casual,"summer dress, resort dress, flat sandals, woven sandals, slides",retailer_style_guide,How to Accessorize Dresses,Stitch Fix,2022,https://www.stitchfix.com/women/blog/fashion-tips/how-to-accessorize-dresses/,medium,"Established styling service guide focused on accessories, but commercial retailer context.",The source links dresses with shoes and accessories for resort wear and advises keeping the styling simple.,Best for daytime summer dress recommendations.,May not apply to formal summer weddings or business settings.,verified,Useful for lightweight dress and summer travel retrieval.
R004,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a winter dress, recommend boots or closed-toe polished shoes because seasonal dress styling needs footwear that works with colder-weather layering.",dresses,shoes,seasonal_layering,"classic, polished, practical","black, brown, neutral","winter, work, daytime",winter,womenswear,layering,smart casual,"winter dress, boots, closed toe shoes, overcoat, layering",retailer_style_guide,How to Wear Dresses in Winter,Stitch Fix,2021,https://www.stitchfix.com/women/blog/fashion-tips/how-to-wear-dresses-in-winter,medium,"Established styling service with seasonal dressing guidance, but commercial retailer context.",The source discusses winter dress outfits and shoe choices including boots and more polished closed footwear.,Best for cold-weather dress outfits.,May not apply to indoor-only formal events where sandals or pumps are preferred.,verified,"Retrieve when user mentions winter, cold weather, knit dresses, or boots."
R005,outside_taxonomy,K021,Removed because the input category is not one of the five frozen categories.,false,"For a wedding guest dress, recommend shoes that match the dress code and occasion level; metallic or dressy shoes can sharpen floral or romantic dresses without changing the dress itself.",dresses,shoes,occasion_matching,"elegant, polished, feminine","metallic, neutral, contrast","wedding, formal, daytime, evening","spring, summer, autumn",womenswear,not specified,smart casual,"wedding guest dress, metallic shoes, dress code, floral dress, occasion shoes",fashion_magazine,What To Wear To A Wedding,British Vogue,2019,https://www.vogue.co.uk/article/what-to-wear-to-a-wedding,high,Highly reputable fashion editorial source on occasion-appropriate wedding guest styling.,The source advises wedding guests to keep their style and notes that metallic jewellery or a strong pair of shoes can toughen florals.,Best for wedding guest dress-shoe recommendations.,"May not apply to weddings with strict cultural, religious or venue-specific requirements.",verified,Good for evidence-constrained wedding recommendation explanations.
R006,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a midi dress in daytime styling, recommend loafers, ballet flats or clean low-profile shoes because these maintain polish while keeping the outfit less formal than eveningwear.",dresses,shoes,smart_casual_styling,"smart casual, polished, relaxed","black, brown, neutral","daytime, smart casual, work",all season,womenswear,balanced silhouette,smart casual,"midi dress, loafers, ballet flats, low profile shoes, daytime polish",fashion_magazine,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,high,Highly reputable fashion editorial source discussing smart-casual balance using visible outfit examples.,The source frames smart casual as a mix of relaxed and elegant elements rather than full formalwear.,Best for daytime smart-casual dress styling.,May not apply to floor-length gowns or very casual beach dresses.,verified,Use for smart-casual user requests involving dresses.
R007,retained_or_rewritten,K015,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For jeans, recommend boots, loafers or clean casual shoes with a proportional shape because jeans-and-shoes pairing depends on balancing shoe bulk with denim fit.",bottoms,shoes,proportion_balance,"casual, smart casual, classic","brown, black, neutral","casual, daytime, smart casual",all season,menswear,proportions,smart casual,"jeans, boots, loafers, shoe bulk, denim fit, proportion",retailer_style_guide,The Right Way to Pair Jeans with Shoes,Stitch Fix Men,2021,https://www.stitchfix.com/men/blog/?p=80,medium,"Established styling service giving explicit jeans-and-shoes pairing guidance, but commercial context.",The source warns that very tight jeans can look disproportionate with bigger shoe styles and discusses boots with jeans.,Best for denim-to-shoe recommendations.,May not apply to intentionally oversized streetwear or runway styling.,verified,Useful when reranking shoes for jeans by silhouette compatibility.
R008,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For straight-leg jeans, recommend ankle boots, pumps or clean sneakers depending on the requested formality because straight denim can work across casual and polished outfits.",bottoms,shoes,formality_matching,"casual, polished, classic","black, white, neutral","casual, work, daytime",all season,womenswear,balanced silhouette,smart casual,"straight leg jeans, ankle boots, pumps, clean sneakers, denim styling",retailer_style_guide,How to Style Straight-Leg Jeans,Stitch Fix,2022,https://www.stitchfix.com/women/blog/?p=76873,medium,"Established styling service guide with explicit shoe/top advice for jeans, but commercial context.","The source states that choosing the right tops and shoes completes straight-leg jeans outfits and mentions boots, pumps and colour-pop sneakers.",Best for straight-leg denim with flexible formality.,May not apply to highly distressed denim in formal contexts.,verified,Retrieve when item text contains straight-leg jeans or denim.
R009,retained_or_rewritten,K016,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For wide-leg trousers, recommend footwear that prevents the hem from overwhelming the shoe, such as heeled sandals, pointed flats or visible low-profile shoes.",bottoms,shoes,silhouette_balance,"structured, polished, relaxed","neutral, black, brown","work, smart casual, daytime","spring, summer, autumn",womenswear,proportions,smart casual,"wide leg trousers, heeled sandals, pointed flats, hem, shoe visibility",retailer_style_guide,How to wear Wide-Leg Pants,Stitch Fix,2021,https://www.stitchfix.com/women/blog/?p=70798,medium,"Established styling service with practical stylist guidance, but commercial retailer context.",The source advises considering shoes with wide-leg pants and shows sandals and flats as practical pairings.,Best for wide-leg trouser shoe matching.,May not apply to floor-skimming trousers styled intentionally to cover the shoe.,verified,Use for silhouette-aware shoe reranking.
R010,retained_or_rewritten,K016,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For petite wide-leg trousers, recommend shoes that keep the trouser around ankle length when flats are used, because the source links this to avoiding visual overwhelm.",bottoms,shoes,proportion_balance,"polished, minimal, tailored","neutral, black, beige","work, daytime, smart casual",all season,womenswear,proportions,smart casual,"petite, wide leg jeans, ankle length, flats, elongated silhouette",retailer_style_guide,How to wear wide-leg pants for petites,Stitch Fix,2024,https://www.stitchfix.com/women/blog/?p=20952,medium,"Established styling service with body-proportion guidance, but commercial retailer context.",The source says petite wearers using flats with wide-leg jeans should keep the length around the ankle to avoid overwhelming the silhouette.,Best for petite or proportion-sensitive wide-leg styling.,May not apply when the user intentionally wants pooled hems or oversized styling.,verified,Use body_fit_context for proportion-based filtering.
