check,expected,observed,status
"Frozen 1,000 recommendation cases",1000,1000,pass
Frozen 500 explanation cases,500,500,pass
Five-way 100-case category balance,True,True,pass
Stage 9 matrix cells,3000,3000,pass
Stage 9 accepted explanations,2987,2987,pass
Stage 9 terminal failures,13,13,pass
Stage 10 extraction records,2987,2987,pass
Stage 10 extracted claims,17396,17396,pass
Stage 11 complete verification records,2986,2986,pass
Stage 11 verified claims,17389,17389,pass
Stage 11 terminal failures,1,1,pass
Qualitative rows use frozen explanation IDs,15,15,pass
Canonical live output paths are unique,3,3,pass
Rebuilt DOCX chapters,5,5,pass
Obsolete explanation metrics in thesis,0,0,pass
