requirement,status,evidence_or_next_step
Major quantitative results have source tables,complete_stage6,tables 01-06
Validation trends and sensitivities are preserved,complete,stage 4/5 tables
Important validation trends have vector visualisations,complete_stage6,figures 07-09
Methodology diagrams are vector graphics,complete_stage6,figures 01-04
Recommendation uncertainty is visualised,complete_stage6,figure 05
Recommendation examples use original images,complete_stage6,figure 06
Examples follow a fixed selection rule,complete_stage6,lowest case ID/category
Explanation conditions shown side by side,pilot_only,full experiment is Stage 7
Worked claim and judge examples,pilot_only,final examples require Stage 8
Automated explanation evaluation,pending_stage8,requires Stages 7-8
Artifact captions and provenance registry,complete_stage6,figure/table registry
Full paper/thesis release review,pending_stage10,after Stages 7-8
