case_id,generator,trace_size,used,available,utilization
case-00394c0d34524ad6,gemma4:12b,2,1,2,0.5
case-00394c0d34524ad6,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-00394c0d34524ad6,ministral-3:14b-instruct-2512-q4_K_M,2,0,2,0.0
case-014db2eb6705d417,gemma4:12b,1,1,1,1.0
case-014db2eb6705d417,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-014db2eb6705d417,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-016755b4f2bd3327,gemma4:12b,1,1,1,1.0
case-016755b4f2bd3327,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-016755b4f2bd3327,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0173bdb2934d615e,gemma4:12b,2,2,2,1.0
case-0173bdb2934d615e,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-0173bdb2934d615e,ministral-3:14b-instruct-2512-q4_K_M,2,1,2,0.5
case-0216651fe59b29df,gemma4:12b,1,1,1,1.0
case-0216651fe59b29df,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0216651fe59b29df,ministral-3:14b-instruct-2512-q4_K_M,1,0,1,0.0
case-026665827bfaaf65,gemma4:12b,1,1,1,1.0
case-026665827bfaaf65,llama3.1:8b-instruct-q8_0,1,0,1,0.0
case-026665827bfaaf65,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-02d951caba7142ce,gemma4:12b,2,2,2,1.0
case-02d951caba7142ce,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-02d951caba7142ce,ministral-3:14b-instruct-2512-q4_K_M,2,1,2,0.5
case-02eee18676b73841,gemma4:12b,1,1,1,1.0
case-02eee18676b73841,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-02eee18676b73841,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-03aa92a88990b171,gemma4:12b,1,1,1,1.0
case-03aa92a88990b171,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-03aa92a88990b171,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-03c159181e5dee57,gemma4:12b,1,1,1,1.0
case-03c159181e5dee57,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-03c159181e5dee57,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-03ef2447e81a3c05,gemma4:12b,2,2,2,1.0
case-03ef2447e81a3c05,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-03ef2447e81a3c05,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-043797c4cb7dee57,gemma4:12b,1,1,1,1.0
case-043797c4cb7dee57,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-043797c4cb7dee57,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-049f4c3321d95a46,gemma4:12b,2,1,2,0.5
case-049f4c3321d95a46,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-049f4c3321d95a46,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-04c0e19c3be2d124,gemma4:12b,1,1,1,1.0
case-04c0e19c3be2d124,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-04c0e19c3be2d124,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-04f411a897ac7ef9,gemma4:12b,1,1,1,1.0
case-04f411a897ac7ef9,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-051b60b8ffa574ab,gemma4:12b,1,1,1,1.0
case-051b60b8ffa574ab,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-051b60b8ffa574ab,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0565bcc9faed41ed,gemma4:12b,1,1,1,1.0
case-0565bcc9faed41ed,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0565bcc9faed41ed,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0693c9edf972beff,gemma4:12b,1,1,1,1.0
case-0693c9edf972beff,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0693c9edf972beff,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-08579e6c896be310,gemma4:12b,2,1,2,0.5
case-08579e6c896be310,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-08579e6c896be310,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-08f8cffdd1fd87da,gemma4:12b,1,1,1,1.0
case-08f8cffdd1fd87da,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-08f8cffdd1fd87da,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-094db2a4cbd25ec7,gemma4:12b,1,1,1,1.0
case-094db2a4cbd25ec7,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-094db2a4cbd25ec7,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-09628ef84cbf20ab,gemma4:12b,1,1,1,1.0
case-09628ef84cbf20ab,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-09628ef84cbf20ab,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0a3210140612bf08,gemma4:12b,1,1,1,1.0
case-0a3210140612bf08,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0a3210140612bf08,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0a71b4f934ffc63b,gemma4:12b,2,2,2,1.0
case-0a71b4f934ffc63b,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-0a71b4f934ffc63b,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-0b262dcd5d6c39a4,gemma4:12b,2,1,2,0.5
case-0b262dcd5d6c39a4,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-0b262dcd5d6c39a4,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-0b8aa30b40b7cd27,gemma4:12b,1,1,1,1.0
case-0b8aa30b40b7cd27,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0b8aa30b40b7cd27,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0c1644002e09f0a9,gemma4:12b,1,1,1,1.0
case-0c1644002e09f0a9,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0c1644002e09f0a9,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0cac5b9e1c55b529,gemma4:12b,2,2,2,1.0
case-0cac5b9e1c55b529,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-0cac5b9e1c55b529,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-0cc5d527ad1c2086,gemma4:12b,2,2,2,1.0
case-0cc5d527ad1c2086,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-0cc5d527ad1c2086,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-0cf08d1b57986cc4,gemma4:12b,1,1,1,1.0
case-0cf08d1b57986cc4,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0cf08d1b57986cc4,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0da2688c311a7c25,gemma4:12b,1,1,1,1.0
case-0da2688c311a7c25,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0da2688c311a7c25,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0dfaeb012d2ad15c,gemma4:12b,2,1,2,0.5
case-0dfaeb012d2ad15c,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-0dfaeb012d2ad15c,ministral-3:14b-instruct-2512-q4_K_M,2,1,2,0.5
case-0e09fa322e23031e,gemma4:12b,1,1,1,1.0
case-0e09fa322e23031e,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0e09fa322e23031e,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
