rule_id,rule_version,rule_text,input_category,recommended_category,applicable_query_categories,required_context,query_terms,candidate_terms,scenario_label,gender_context,formality_level,occasion_tags,season_tags,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_locator,source_access_date,source_validation_status,source_reliability,evidence_summary,rule_scope,rule_limitations,audit_status,supersedes_rule_ids
K038,1,"When an oversized tote or hobo is explicit, a close-fitting or otherwise non-oversized top is a supported way to keep volume concentrated in one statement piece.",bags,tops,bags,none,"oversized tote|giant tote|oversized bag|large hobo",none,volume_control,general,casual,daytime,all,fashion_editorial,"Baggy Fashion Is In: What I Learned Embracing the Trend",Vogue,2022,https://www.vogue.com/article/baggy-fashion-summer-trend-styling-tips,"stylist quotation advising one oversized element at a time",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"Stylists explicitly advise choosing one oversized element rather than applying volume to every piece.","Oversized bags to non-oversized tops.","Does not prescribe body-shape effects or a particular colour or fabric.",retain,
K039,1,"For an explicit understated summer handbag, a button-up shirt or simple tank is a directly documented top direction.",bags,tops,bags,none,"summer bag|summer handbag|canvas tote|raffia bag|woven bag",none,summer_minimal,womenswear,casual,daytime,summer,fashion_editorial,"10 Chic Ways to Style Summer's Hero Handbags",Vogue,2023,https://www.vogue.com/article/summer-handbag-outfits,"opening styling paragraph pairing understated bags with button-ups and tanks",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs understated summer handbags with a button-up or timeless tank.","Understated summer bags to simple tops.","Seasonal womenswear editorial; not support for formal or cold-weather contexts.",retain,
K040,1,"For explicit wide-leg trousers, an oversized band T-shirt is a documented casual top option.",bottoms,tops,bottoms,none,"wide leg trouser|wide-leg trouser|wide leg pant|wide-leg pant",none,casual_volume,womenswear,casual,daytime,all,stylist_editorial,"How to Style Wide-Leg Pants",Vogue,2024,https://www.vogue.com/article/how-to-style-wide-leg-pants,"stylist paragraph describing an oversized band tee with wide-leg pants",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"A wardrobe stylist directly describes wearing wide-leg pants with an oversized band T-shirt.","Wide-leg trousers to an oversized casual tee.","One stylist's documented option; it does not supersede fitted-top alternatives.",retain,
K041,1,"For explicit cuffed or loose wide-leg trousers, a simple white button-down is a directly documented top pairing.",bottoms,tops,bottoms,none,"cuffed trouser|wide leg trouser|wide-leg trouser|loose trouser",none,neutral_tailoring,womenswear,smart casual,"office|daytime",all,fashion_editorial,"Wide-Leg Trousers Are a Vogue Office Favorite",Vogue,2026,https://www.vogue.com/article/how-to-style-wide-leg-trousers,"The Cuffed Pair section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly tops grey wide-leg trousers with a simple white button-down.","Cuffed or loose wide-leg trousers to white shirting.","Observed editorial formula; does not prescribe a shirt for every wide-leg silhouette.",retain,
K042,1,"For an explicit oversized tailored blazer or trouser suit, a simple white tank is a directly documented base top.",outerwear,tops,outerwear,none,"oversized blazer|trouser suit|pantsuit|tailored suit",none,minimal_tailoring,womenswear,smart casual,"office|dinner",all,fashion_editorial,"How To Style A Suit In 2024 According To The Street-Style Set","British Vogue",2024,https://www.vogue.co.uk/article/how-to-style-a-suit,"Monochrome section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The monochrome formula explicitly combines an oversized blazer and loose trousers with a white tank.","Oversized tailoring to a white tank.","A specific street-style formula rather than a universal suiting requirement.",retain,
K043,1,"For an explicit voluminous leather bomber in a statement-trouser outfit, a plain white tank is a directly documented base top.",outerwear,tops,outerwear,none,"leather bomber|voluminous bomber & statement trouser|checked trouser|check trouser",none,statement_balance,womenswear,smart casual,daytime,autumn,fashion_editorial,"How Vogue's Shopping Editor Is Styling Trousers For Autumn","British Vogue",2024,https://www.vogue.co.uk/article/how-to-style-trousers-for-autumn,"Leather bomber jacket + statement trousers + kitten heels section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The editor explicitly combines statement check trousers and a voluminous leather bomber with a white tank.","Leather-bomber statement-trouser outfits to a white tank.","All stated outfit conditions must be observable; do not generalize to every bomber.",retain,
K044,1,"For explicit pointy cowboy boots worn with baggy denim, an Oxford or other button-up shirt is a directly documented top direction.",shoes,tops,shoes,none,"cowboy boot|cowgirl boot|western boot & baggy jean|wide leg jean|wide-leg jean",none,western_polish,womenswear,casual,daytime,all,fashion_editorial,"The New Baggy Jeans Dominating The Street-Style Circuit","British Vogue",2026,https://www.vogue.co.uk/article/baggy-jeans-trends-outfits,"Cowboy roots city polish section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs pointy cowboy boots and baggy denim with an Oxford button-up.","Western boots with baggy denim to button-up tops.","Requires both footwear and denim context; not a generic western-wear rule.",retain,
K045,1,"For explicit patent or highly polished black-tie shoes, a white formal shirt is a directly supported top category.",shoes,tops,shoes,none,"patent shoe|polished formal shoe|evening shoe & black tie|black-tie|tuxedo",none,black_tie_menswear,menswear,black tie,"gala|formal evening",all,fashion_editorial,"The GQ Black Tie Guide Is The Only One You'll Ever Need","British GQ",2025,https://www.gq-magazine.co.uk/article/black-tie-guide,"shirt and footwear sections of the black-tie guide",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The guide specifies a white formal shirt and patent or highly polished shoes within the same black-tie code.","Menswear black-tie footwear to formal shirts.","Requires an explicit black-tie context and does not apply to ordinary black shoes.",retain,
K046,1,"When an oversized tote is the explicit oversized statement piece, prefer non-baggy bottoms rather than adding a second oversized silhouette.",bags,bottoms,bags,none,"oversized tote|giant tote|oversized bag",none,volume_control,general,casual,daytime,all,fashion_editorial,"Baggy Fashion Is In: What I Learned Embracing the Trend",Vogue,2022,https://www.vogue.com/article/baggy-fashion-summer-trend-styling-tips,"stylist quotation advising one oversized element at a time",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"Stylists explicitly advise using one oversized statement piece and name a giant tote or baggy jean as alternatives.","Oversized bags to non-baggy bottoms.","Negative volume guidance only; it does not identify a particular trouser cut.",retain,
K047,1,"For an explicit structured city bag in a polished workwear request, grey suit trousers are a documented bottom direction.",bags,bottoms,bags,none,"city bag|structured shoulder bag|structured crossbody & workwear|office|polished",none,workwear_capsule,womenswear,business casual,"office|work",autumn,fashion_editorial,"The Fall-Perfect Street Style Vogue Editors Brought to New York Fashion Week",Vogue,2025,https://www.vogue.com/article/nyfw-editors-street-style-looks-ss26,"Virginia Smith section",2026-08-16,verified_reachable_and_direct_2026-08-16,medium,"The editor outfit explicitly combines a City bag with grey suit trousers, a soft knit and pointed boots.","Structured city bags to suit trousers in workwear.","Observed editorial outfit; does not prescribe grey or tailoring outside polished workwear.",retain,
